lemma,count
strength,123652
prisoner,123452
hm,123401
hearing,123348
walked,123313
nurse,123279
bobby,123221
cake,123218
beg,123173
character,123091
correct,122894
murdered,122858
plus,122622
base,122593
necessary,122514
beauty,121921
restaurant,121777
size,121605
large,121118
indistinct,121115
investigation,121085
powerful,120466
project,120337
charles,120326
taught,120309
possibly,120167
pound,120132
breaking,120093
pardon,119890
held,119640
united,119397
center,119237
player,118915
clearly,118667
daniel,118620
lied,118606
alarm,118414
purpose,118403
wound,118184
somehow,118177
loud,118115
pocket,118104
hanging,117972
excited,117964
national,117833
post,117807
spoke,117670
bringing,117560
credit,117486
view,117433
agreed,117315
famous,117258
beep,117121
mail,117103
checked,116977
survive,116214
creature,115900
market,115690
sweetie,115686
minister,115611
release,115556
practice,115534
career,115407
pal,115352
advice,115340
freedom,115300
hardly,115242
greatest,115045
bite,114977
meat,114870
dropped,114752
fill,114697
lesson,114585
horn,114550
panting,114299
science,114232
chinese,114063
finding,113937
access,113572
noise,113292
dumb,113286
training,113241
serve,112935
teeth,112891
several,112875
coach,112766
twenty,112581
walter,112535
male,112425
truly,112180
draw,111888
wing,111841
female,111813
thief,111791
distance,111329
planning,111124
plant,111094
fake,111054
opinion,110823
nowhere,110713
beeping,110385
martin,110331
responsibility,110288
belong,110161
papa,110098
destroyed,110055
subject,109838
screw,109770
pretend,109732
path,109196
paying,109178
dry,109162
defense,109149
dancing,109083
nearly,108854
effect,108754
suicide,108724
brown,108657
dressed,108592
gang,108527
manager,108475
health,108299
spanish,108117
natural,108091
groaning,107860
claim,107787
century,107695
connection,107666
lover,107490
remain,107335
noticed,107279
cream,107263
original,107154
milk,107071
threat,106775
letting,106765
damage,106602
proof,106539
understood,106504
knee,106474
aware,106344
shower,106332
discuss,106251
alien,106235
universe,106180
heat,106138
prepare,106136
turning,106015
affair,105977
grandma,105942
older,105827
desk,105807
pray,105771
prepared,105645
horrible,105606
babe,105499
interview,105439
anna,105428
biggest,105363
theory,105355
easier,105342
property,105321
dig,105109
shake,105046
concerned,104913
lift,104796
gunshot,104701
research,104533
storm,104394
saving,104357
meaning,104351
arrested,104264
honestly,104227
oil,103990
plate,103873
source,103837
speech,103613
location,103356
sunday,103174
perfectly,103099
weak,103065
suggest,103036
pool,102896
focus,102825
incredible,102765
model,102677
recognize,102603
loss,102471
tire,102368
wave,102228
inspector,102219
opening,102146
heading,102131
concern,102042
pill,101972
map,101827
stranger,101820
wheel,101758
scott,101718
settle,101704
headed,101685
split,101674
monkey,101670
rachel,101666
comfortable,101514
crash,101307
jerry,101215
afford,101211
yelling,101178
wash,101158
stolen,101136
freak,100906
regret,100869
loose,100636
insane,100534
degree,100292
roof,100260
scare,100145
weight,100024
painting,99968
ugly,99962
liar,99895
believed,99663
contract,99602
cigarette,99499
fantastic,99490
indian,99468
france,99416
forgotten,99410
selling,99325
prefer,98610
surgery,98520
season,98517
tongue,98472
followed,98465
fate,98426
safety,98396
brave,98390
wolf,98284
lake,98176
grown,98112
image,98109
yard,98038
spring,97968
authority,97948
total,97886
england,97858
artist,97684
trade,97652
soft,97604
snow,97506
friday,97373
failed,97255
exist,97227
lip,97166
brilliant,97135
castle,97124
murderer,97035
coat,96975
falling,96927
based,96831
official,96750
thomas,96747
rise,96721
invited,96671
threw,96638
example,96595
ended,96509
lately,96306
mayor,96261
add,96170
sending,96142
site,96087
garden,96086
created,96048
style,95924
quarter,95832
unfortunately,95777
spread,95768
realized,95607
priest,95412
nation,95411
pilot,95345
process,94918
sale,94882
staff,94857
sin,94716
ordered,94671
expecting,94614
request,94613
crack,94601
genius,94529
challenge,94492
shoulder,94482
create,94425
clock,94356
data,94320
sugar,94318
direction,94267
usual,94133
lonely,94034
tip,93986
mister,93965
opened,93815
vehicle,93812
audience,93752
statement,93719
shadow,93700
customer,93621
kinda,93561
bang,93545
ruin,93544
demon,93454
jealous,93234
medicine,93221
whore,93214
sport,93167
remind,93104
began,93018
farm,92707
ocean,92679
weather,92546
pair,92442
repeat,92430
owner,92380
saturday,92328
flat,92327
witch,92254
japanese,92240
covered,92123
attorney,92111
butt,92023
option,91975
chest,91836
harm,91808
stayed,91790
funeral,91760
nonsense,91756
applause,91710
meal,91629
society,91533
grandpa,91517
barely,91227
professional,91116
naked,91044
british,90863
click,90748
warning,90742
forest,90728
supply,90673
signed,90617
miracle,90597
fancy,90585
amount,90381
trap,90311
winter,90239
birth,90218
received,90184
ancient,90183
simon,90082
siren,90029
tank,89952
tiny,89870
chattering,89829
spare,89806
joy,89775
brings,89651
airport,89632
disappeared,89552
secretary,89511
print,89491
slept,89459
bedroom,89264
buried,89221
wet,89218
giant,89153
