lemma,definition,count
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,14532890
get,come into the possession of something concrete or abstract,11099457
like,prefer or wish to do something,10258033
go,"change location; move, travel, or proceed, also metaphorically",10138442
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,9622115
come,"move toward, travel toward something or somebody or approach something or somebody",8374107
one,used of a single unit or thing; not two or more,8317958
got,come into the possession of something concrete or abstract,8307742
good,having desirable or positive qualities especially those suitable for a thing specified,8064341
oh,a midwestern state in north central United States in the Great Lakes region,8023592
yeah,"not only so, but",7527795
want,feel or have a desire for; want strongly,7453923
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),7286813
think,judge or regard; look upon; judge,6626077
see,perceive by sight or have the power to perceive by sight,6212749
let,make it possible through a specific action or lack of action for something to happen,6064689
time,an instance or single occasion for some event,5631478
look,perceive with attention; direct one's gaze towards,5552992
okay,being satisfactory or in satisfactory condition,5469482
yes,an affirmative,5256150
back,in or to or toward a former location,5148907
going,the act of departing,5133613
take,carry out,4899331
na,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt),4809536
say,express in words,4700710
man,an adult person who is male (as opposed to a woman),4586583
ca,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,4382472
tell,express in words,4259344
thing,a special situation,4209293
make,engage in,3995963
need,"require as useful, just, or proper",3881908
really,in accordance with truth or fact or reality,3861934
way,how something is done or how it happens,3708028
find,"come upon, as if by accident; meet with",3488344
mean,mean or intend to express or convey,3486804
never,not ever; at no time in the past or future,3293446
doe,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,3255639
guy,an informal term for a youth or man,3253415
little,limited or below average in number or quantity or magnitude or extent,3076612
people,(plural) any group of human beings (men or women or children) collectively,3019792
give,"cause to have, in the abstract sense or physical sense",2991969
please,give pleasure to or be pleasing to,2987131
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone,2984116
day,time for Earth to make a complete rotation on its axis,2963861
love,have a great affection or liking for,2923546
said,being the one previously mentioned or spoken of,2778150
two,being one more than one,2764445
thank,express gratitude or show appreciation to,2698031
life,a characteristic state or mode of living,2542357
sure,having or feeling no doubt or uncertainty; confident and assured,2476588
help,give help or assistance; be of service,2462706
even,used as an intensive especially to indicate something unexpected,2458695
much,(quantifier used with mass nouns) great in quantity or degree or extent,2451535
year,a period of time containing 365 (or 366) days,2441377
god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions,2427470
work,activity directed toward making or doing something,2344921
sir,term of address for a man,2313447
call,assign a specified (usually proper) proper name to,2243039
still,"with reference to action or condition; without change, interruption, or cessation",2195731
first,preceding all others in time or space or degree,2191956
nothing,a quantity of no importance,2152626
stop,"come to a halt, stop moving",2144083
wait,stay in one place and anticipate or expect something,2084079
maybe,by chance,2062724
put,put into a certain place or abstract location,2026097
talk,exchange thoughts; talk with,2022857
night,the time after sunset and before sunrise while it is dark outside,2012208
thought,the content of cognition; the main thing you are thinking about,1999012
must,a necessary or essential thing,1975253
keep,"keep in a certain state, position, or activity; e.g.,",1949519
home,at or to or in the direction of one's home or family,1928254
great,relatively large in size or number or extent; larger than others of its kind,1918505
away,from a particular thing or place or position (`forth' is obsolete),1916853
mr.,a form of address for a man,1874941
friend,a person you know well and regard with affection and trust,1872634
girl,a young woman,1871158
last,immediately past,1845389
name,a language unit by which a person or thing is known,1803337
told,express in words,1774307
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,1757160
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,1756800
bad,having undesirable or negative qualities,1731975
feel,undergo an emotional sensation or be in a particular state of mind,1683849
always,at all times; all the time and on every occasion,1668586
place,put into a certain place or abstract location,1660957
around,in the area or vicinity,1649979
ever,at any time,1630744
boy,a youthful male person,1629872
old,(used especially of persons) having lived for a relatively long time or attained a specific age,1616260
woman,an adult female person (as opposed to a man),1597580
leave,go away from a place,1597111
money,the most common medium of exchange; functions as legal tender,1551660
father,a male parent (also used as a term of address to your father),1525184
lot,(often followed by `of') a large number or amount or extent,1519348
made,produced by a manufacturing process,1491375
big,above average in size or number or quantity or magnitude or extent,1464253
believe,accept as true; take to be true,1455463
stay,stay the same; remain in a certain state,1442603
done,having finished or arrived at completion,1427638
fine,being satisfactory or in satisfactory condition,1417370
kind,a category of things distinguished by some common characteristic or quality,1414574
hand,the (prehensile) extremity of the superior limb,1399950
kill,"cause to die; put to death, usually intentionally or knowingly",1396166
nice,pleasant or pleasing or agreeable in nature or appearance; - George Meredith,1396002
three,being one more than two,1390638
every,(used of count nouns) each and all of the members of a group considered singly and without exception,1386501
coming,of the relatively near future,1381016
house,a dwelling that serves as living quarters for one or more families,1371074
hello,an expression of greeting,1370194
kid,a young person of either sex,1369233
someone,a human being,1366477
shit,obscene terms for feces,1356096
minute,a unit of time equal to 60 seconds or 1/60th of an hour,1340088
world,everything that exists anywhere,1338430
left,being or located on or directed toward the side of the body to the west when facing north,1325711
listen,hear with intention,1317985
hear,perceive (sound) via the auditory sense,1310807
wanted,feel or have a desire for; want strongly,1308927
wrong,not correct; not in conformity with fact or truth,1300868
enough,as much as necessary; ; (`plenty' is nonstandard),1299958
fuck,slang for sexual intercourse,1296751
may,the month following April and preceding June,1289741
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,1288453
happened,come to pass,1285278
course,education imparted in a series of lessons or meetings,1281971
show,give an exhibition of to an interested audience,1273967
might,physical strength,1273705
understand,know and comprehend the nature or meaning of,1271531
remember,recall knowledge from memory; have a recollection,1271337
dad,an informal term for a father; probably derived from baby talk,1270497
dead,no longer having or seeming to have or expecting to have life,1254894
mother,a woman who has given birth to a child (also used as a term of address to your mother),1251543
ok,an expression of agreement normally occurring at the beginning of a sentence,1248418
son,a male human offspring,1245726
another,any of various alternatives; some other,1245419
hell,any place of pain and turmoil,1242349
care,feel concern or interest,1234862
came,"move toward, travel toward something or somebody or approach something or somebody",1225353
talking,an exchange of ideas via conversation,1214335
move,"change location; move, travel, or proceed, also metaphorically",1204160
ask,inquire about,1192524
fucking,slang for sexual intercourse,1186654
looking,appearing to be as specified; usually used as combining forms,1179256
today,the present time or age,1169418
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk,1165685
try,make an effort or attempt,1154334
mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,1145085
getting,the act of acquiring something,1140866
hi,an expression of greeting,1131724
next,nearest in space or position; immediately adjoining without intervening space,1131444
job,the principal activity in your life that you do to earn money,1102993
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,1102259
trying,hard to endure,1090252
door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle,1089063
real,being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow,1075160
family,a social unit living together,1075012
hold,"keep in a certain state, position, or activity; e.g.,",1071245
room,an area within a building enclosed by walls and floor and ceiling,1066717
best,(superlative of `good') having the most positive qualities,1058984
went,"change location; move, travel, or proceed, also metaphorically",1042118
brother,a male with the same parents as someone else,1037574
mom,informal terms for a mother,1033820
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,1033125
saw,cut with a saw,1023698
morning,the time period between dawn and noon,1018964
ta,a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite,1013806
child,a young person of either sex,1010360
together,in contact with each other or in proximity,1006820
